АЗЕРБАЙДЖАН;AZERBAIJAN;OZARBAYJON;ОЗАРБАЙЖОН
АВСТРИЯ;AUSTRIA;AVSTRIYA;АВСТРИЯ
АЛАНДСКИЕ ОСТРОВА;ALAND ISLANDS;ALAND OROLLARI;АЛАНД ОРОЛЛАРИ
АЛБАНИЯ;ALBANIA;ALBANIYA;АЛБАНИЯ
АЛЖИР;ALGERIA;JAZIR;ЖАЗОИР
АМЕРИКАНСКОЕ САМОА;AMERICAN SAMOA;AMERIKA SAMOASI;АМЕРИКА САМОАСИ
АНГИЛЬЯ;ANGUILLA;ANGUILLA;АНГУИЛЛА
АНГОЛА;ANGOLA;ANGOLA;АНГОЛА
АНДОРРА;ANDORRA;ANDORRA;АНДОРРА
АВСТРАЛИЯ;AUSTRALIA;AVSTRALIYA;АВСТРАЛИЯ
АНТАРКТИДА;ANTARCTICA;ANTARKTIKA;АНТАРКТИКА
АНТИГУА И БАРБУДА;ANTIGUA AND BARBUDA;ANTIGUA VA BARBUDA;АНТИГУА ВА БАРБУДА
АРГЕНТИНА;ARGENTINA;ARGENTINA;АРГЕНТИНА
АРМЕНИЯ;ARMENIA;ARMANISTON;АРМАНИСТОН
АРУБА;ARUBA;ARUBA;АРУБА
АФГАНИСТАН;AFGHANISTAN;AFGONISTON;АФҒОНИСТОН
БАГАМСКИЕ ОСТРОВА;BAHAMAS;BAHAMA;БАҲАМА ОРОЛЛАРИ
БАНГЛАДЕШ;BANGLADESH;BANGLADESH;БАНГЛАДЕШ
БАРБАДОС;BARBADOS;BARBADOS;БАРБАДОС
БАХРЕЙН;BAHRAIN;BAHRAYN;БАҲРАЙН
БЕЛАРУСЬ;BELARUS;BELARUS;БЕЛАРУС
БЕЛИЗ;BELIZE;BELIZE;БЕЛИЗ
БЕЛЬГИЯ;BELGIUM;BELGIYA;БЕЛГИЯ
БЕНИН;BENIN;BENIN;БЕНИН
БЕРМУДСКИЕ ОСТРОВА;BERMUDA;BERMUDA;БЕРМУДА
БОЛГАРИЯ;BULGARIA;BOLGARIYA;БОЛГАРИЯ
БОЛИВИЯ;BOLIVIA;BOLIVIYA;БОЛИВИЯ
БОНЭЙР, СИНТ-ЭСАТИУС И САБА;BONAIRE, SINT ESATIUS AND SABA;BONAIRE, SINT ESATIUS VA SABA;БОНАИР, СИНТ ЭСАТИУС ВА САБА
БОСНИЯ И ГЕРЦЕГОВИНА;BOSNIA AND HERZEGOVINA;BOSNIYA VA GERSEGOVINA;БОСНИЯ ВА ГЕРТСЕГОВИНА
БОТСВАНА;BOTSWANA;BOTSVANA;БОТСВАНА
БРАЗИЛИЯ;BRAZIL;BRAZILIYA;БРАЗИЛИЯ
БРИТАНСКИЕ ТЕРРИТОРИИ;BRITISH TERRITORIES;BRITANIYA HUDUDLARI;БРИТАНИЯ ҲУДУДЛАРИ
БРУНЕЙ-ДАРУССАЛАМ;BRUNEI DARUSSALAM;BRUNEY DORUSSALOM;БРУНЕЙ ДОРУССАЛОМ
БУВЕ;BUVE;BUVE;БУВЕ
БУРКИНА-ФАСО;BURKINA FASO;BURKINA FASO;БУРКИНА ФАСО
БУРУНДИ;BURUNDI;BURUNDI;БУРУНДИ
БУТАН;BUTANE;BUTAN;БУТАН
ВАНУАТУ;VANUATU;VANUATU;ВАНУАТУ
ВАТИКАН;VATICAN;VATIKAN;ВАТИКАН
ВЕНГРИЯ;HUNGARY;VENGRIYA;ВЕНГРИЯ
ВЕНЕСУЭЛА;VENEZUELA;VENESUELA;ВЕНЕСУЕЛА
